공고게시일,공고ID,주택유형,지역,전체세대수,특별공급코드,공급유형코드,공고일,번호,시스템구분,상세URL,마감일,상위공급코드,공고명,상위주택유형,공고상태,모바일상세URL,구분,신청일시,서류제출시작일,서류제출종료일,계약시작일,계약종료일,전용면적,임대보증금,월임대료,공급면적,총세대수,첨부파일명,다운로드링크,파일구분명,단지명,단지주소,단지상세주소,교육환경,교통여건,편의시설,난방방식,부대시설,입주예정월
2024.11.08,2015122300017149,국민임대,경상남도,1241,062,07,20241108,1,03,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=2015122300017149&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=07&mi=1026,2024.11.22,06,진주평거(고령자복지주택) 국민임대(스마트청년형) 자격완화 입주자 모집 공고,임대주택,공고중,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=2015122300017149&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=07&mi=1026,NO_DATA,NO_DATA,NO_DATA,NO_DATA,2024.12.04,2024.12.06,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,(게시용)진주평거(고령자복지주택)국민임대(스마트청년)공고문.pdf,https://apply.lh.or.kr/lhapply/lhFile.do?fileid=59421911,공고문(PDF),NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,2024.02
2024.11.08,0000060772,공공임대,경기도,1241,060,08,20241108,2,02,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=0000060772&ccrCnntSysDsCd=02&uppAisTpCd=06&aisTpCd=08&mi=1026,2024.11.18,06,수원역푸르지오자이 5년 공공임대주택 예비입주자 모집공고(2024.11.08),임대주택,공고중,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=0000060772&ccrCnntSysDsCd=02&uppAisTpCd=06&aisTpCd=08&mi=1026,일반공급(우선),2024.11.18 09:00 ~ 2024.11.18 16:00,20241122,20241126,NO_DATA,NO_DATA,40.6 ~ 84.99,118424000,468450,82.5748,4086,241108_수원역푸르지오자이5년공공임대주택예비입주자모집공고.pdf,https://apply.lh.or.kr/lhapply/lhFile.do?fileid=59357675,공고문(PDF),"수원고등(05,주환3) A-1",경기도 수원시 팔달구 고등로 15,"(고등동,수원역푸르지오자이)",-,-,-,지역난방,-,2021년 02월
2024.11.08,2015122300017131,국민임대,전북특별자치도,1241,062,07,20241108,3,03,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=2015122300017131&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=07&mi=1026,2024.11.28,06,익산한스빌 국민임대주택 예비입주자 완화 모집공고,임대주택,공고중,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=2015122300017131&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=07&mi=1026,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,익산한스빌국민임대주택예비입주자자격완화모집공고문(2024.11.08.).pdf,https://apply.lh.or.kr/lhapply/lhFile.do?fileid=59421956,공고문(PDF),NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,2016.05
2024.11.07,2015122300017126,공공임대,충청남도,1241,061,08,20241107,4,03,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=2015122300017126&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=08&mi=1026,2024.11.29,06,보령명천2 50년공공임대주택 예비입주자 모집공고(공고일:2024.11.07.),임대주택,공고중,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=2015122300017126&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=08&mi=1026,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,보령명천2_50년공공임대주택_예비입주자_모집_공고문(2024.11.07공고).pdf,https://apply.lh.or.kr/lhapply/lhFile.do?fileid=59352140,공고문(PDF),NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,1994.11
2024.11.06,2015122300017129,가정어린이집,경기도,1241,064,40,20241106,5,03,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=2015122300017129&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=40&mi=1026,2024.11.21,06,성남판교대장 A-10BL 가정어린이집 운영예정자 2차 모집 공고('24. 11. 6.),임대주택,공고중,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=2015122300017129&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=40&mi=1026,NO_DATA,NO_DATA,NO_DATA,NO_DATA,2024.11.28,2024.11.28,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,(공고문)가정어린이집운영예정자2차_모집(성남판교대장A-10_신혼희망타운).pdf,https://apply.lh.or.kr/lhapply/lhFile.do?fileid=59376526,공고문(PDF),NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,2024.09
2024.11.06,2015122300017134,국민임대,경기도,1241,062,07,20241105,6,03,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=2015122300017134&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=07&mi=1026,2024.11.21,06,[정정공고]남양주시 지역 국민임대주택 예비입주자 모집,임대주택,공고중,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=2015122300017134&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=07&mi=1026,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,남양주시지역국민임대주택예비입주자모집(2024.11.05공고)(마이마이서비스적용)(수정).pdf,https://apply.lh.or.kr/lhapply/lhFile.do?fileid=59386427,공고문(PDF),NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,2010.04
2024.11.06,2015122300017130,공공임대,충청북도,1241,061,08,20241106,7,03,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=2015122300017130&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=08&mi=1026,2024.11.20,06,음성금왕1 50년공공임대주택 예비입주자 모집 공고[2024.11.06],임대주택,공고중,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=2015122300017130&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=08&mi=1026,NO_DATA,NO_DATA,NO_DATA,NO_DATA,2025.01.20,2025.02.20,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,(수정)241106_예비입주자모집공고문(음성금왕1).pdf,https://apply.lh.or.kr/lhapply/lhFile.do?fileid=59371585,공고문(PDF),NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,1999.05
2024.11.05,2015122300017094,국민임대,경기도,1241,062,07,20241105,8,03,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=2015122300017094&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=07&mi=1026,2024.11.21,06,남양주시 지역 국민임대주택 예비입주자 모집,임대주택,정정공고중,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=2015122300017094&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=07&mi=1026,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,남양주시지역국민임대주택예비입주자모집(2024.11.05공고)(마이마이서비스적용).pdf,https://apply.lh.or.kr/lhapply/lhFile.do?fileid=59358785,공고문(PDF),NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,2010.04
2024.11.05,2015122300017097,영구임대,광주광역시,1241,062,09,20241105,9,03,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=2015122300017097&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=09&mi=1026,2024.11.22,06,광주쌍촌 영구임대주택 예비입주자 모집 공고(공고일 : 2024.11.05),임대주택,공고중,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=2015122300017097&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=09&mi=1026,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,광주쌍촌영구임대주택예비입주자표준모집공고문_개정반영(2024.11.05).pdf,https://apply.lh.or.kr/lhapply/lhFile.do?fileid=59252770,공고문(PDF),NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,1991.04
2024.11.05,2015122300017090,영구임대,충청남도,1241,062,09,20241105,10,03,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=2015122300017090&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=09&mi=1026,2024.11.22,06,아산읍내 영구임대주택 예비입주자 모집공고(공고일:2024.11.05),임대주택,공고중,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=2015122300017090&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=09&mi=1026,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,아산읍내영구임대주택예비자입주자모집공고문(24.11.05.공고).pdf,https://apply.lh.or.kr/lhapply/lhFile.do?fileid=59233191,공고문(PDF),NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA
