번호,주택유형,공고명,지역,공고게시일,마감일,공고상태
59421911.0,국민임대,진주평거(고령자복지주택) 국민임대(스마트청년형) 자격완화 입주자 모집 공고,경상남도,2024.11.08,2024.11.22,공고중
59357675.0,공공임대,수원역푸르지오자이 5년 공공임대주택 예비입주자 모집공고(2024.11.08),경기도,2024.11.08,2024.11.18,공고중
59421956.0,국민임대,익산한스빌 국민임대주택 예비입주자 완화 모집공고,전북특별자치도,2024.11.08,2024.11.28,공고중
59352140.0,공공임대,보령명천2 50년공공임대주택 예비입주자 모집공고(공고일:2024.11.07.),충청남도,2024.11.07,2024.11.29,공고중
59386427.0,국민임대,[정정공고]남양주시 지역 국민임대주택 예비입주자 모집,경기도,2024.11.06,2024.11.21,공고중
59371585.0,공공임대,음성금왕1 50년공공임대주택 예비입주자 모집 공고[2024.11.06],충청북도,2024.11.06,2024.11.20,공고중
59358785.0,국민임대,남양주시 지역 국민임대주택 예비입주자 모집,경기도,2024.11.05,2024.11.21,정정공고중
59252770.0,영구임대,광주쌍촌 영구임대주택 예비입주자 모집 공고(공고일 : 2024.11.05),광주광역시,2024.11.05,2024.11.22,공고중
59233191.0,영구임대,아산읍내 영구임대주택 예비입주자 모집공고(공고일:2024.11.05),충청남도,2024.11.05,2024.11.22,공고중
59203509.0,영구임대,광주각화 영구임대주택 예비입주자 모집 공고(공고일: 2024.11.05.),광주광역시,2024.11.05,2024.11.22,공고중
59324133.0,공공임대,익산부송3단지 50년 공공임대 예비입주자 모집,전북특별자치도,2024.11.05,2024.11.20,공고중
59317888.0,국민임대,"[선계약후검증, 동호지정] 도청이전신도시 RH-11BL 국민임대주택 입주자 추가모집 공고('24.11.01)",충청남도,2024.11.01,2024.11.15,공고중
59317916.0,국민임대,"[선계약후검증, 동호지정] 도청이전신도시 RH10-2BL 국민임대주택 입주자 추가모집 공고('24.11.01)",충청남도,2024.11.01,2024.11.15,공고중
59299238.0,국민임대,태백철암1 국민임대주택 예비입주자 모집 공고,강원특별자치도,2024.11.01,2024.11.22,공고중
59299767.0,행복주택,"청주지북 A4, A5 행복주택 입주자모집공고",충청북도,2024.10.31,2024.11.27,공고중
59299781.0,행복주택,"청주지북 A4, A5 행복주택 입주자모집공고",충청북도,2024.10.31,2024.11.27,공고중
59305158.0,행복주택,[입주자격완화]서울독산13(광명하안13) 행복주택 입주자격완화 추가모집 공고(주거약자),서울특별시,2024.10.31,2024.11.15,공고중
59305323.0,영구임대,[신규공고]서울독산13(광명하안13) 고령자복지주택(증축영구임대) 입주자 모집 공고,서울특별시,2024.10.31,2024.11.13,공고중
59286733.0,국민임대,부평역 한라비발디 트레비앙(부평목련아파트주변구역 재개발) 국민임대주택 입주자(당해 사업지구 철거민) 모집공고,인천광역시,2024.10.31,2024.11.15,공고중
59282081.0,공공임대,[정정공고]광주선운 3블록 10년 공공임대주택 리츠 예비입주자 모집 공고,광주광역시,2024.10.30,2024.11.05,접수마감
59286320.0,행복주택,행정중심복합도시 4-2M2(세종 새나루12단지) 행복주택 자격완화 선계약 후검증 입주자 모집 공고(2024.10.30),세종특별자치시,2024.10.30,2024.11.13,공고중
59155369.0,공공임대,"논산내동(2) 1단지 10년공임임대, 분납임대주택 예비입주자 모집",충청남도,2024.10.30,2024.11.12,공고중
59264905.0,영구임대,[정정공고]안동옥동2 영구임대주택 예비입주자 모집,경상북도,2024.10.30,2024.11.15,공고중
59239846.0,국민임대,상주공검 국민임대 예비입주자 모집공고,경상북도,2024.10.29,2024.11.21,공고중
59226320.0,국민임대,김해진영 휴먼시아 6단지 국민임대주택 자격완화 및 선착순동호지정 입주자모집(선계약·후검증),경상남도,2024.10.28,2024.11.12,공고중
59125357.0,영구임대,안동옥동2 영구임대주택 예비입주자 모집,경상북도,2024.10.28,2024.11.15,정정공고중
59181342.0,영구임대,괴산증평3 영구임대주택 입주자 모집 공고[24.10.28_소득기준완화],충청북도,2024.10.28,2024.11.14,공고중
59208203.0,행복주택,보령웅천 행복주택 입주자격완화 추가 입주자 모집,충청남도,2024.10.25,2024.11.06,접수마감
59268543.0,행복주택,[정정공고]김포시 행복주택 입주자격완화 예비입주자 모집[선계약후검증],경기도,2024.10.25,2024.10.31,접수마감
59198413.0,국민임대,"오산시 지역 국민임대주택 예비입주자 모집 공고(입주자격완화, 선계약후검증)",경기도,2024.10.25,2024.11.08,접수마감
59190539.0,영구임대,2024년 하반기 부산광역시 영구임대주택 예비입주자 모집공고(공고일: 2024. 10. 25.),부산광역시,2024.10.25,2024.11.11,공고중
59163091.0,공공임대,광주선운 3블록 10년 공공임대주택 리츠 예비입주자 모집 공고,광주광역시,2024.10.25,2024.11.05,접수마감
59162202.0,행복주택,장항성주행복주택입주자격완화추가모집공고(24.10.25),충청남도,2024.10.25,2024.11.06,접수마감
59180459.0,영구임대,석문국가산업단지A-4BL 영구임대 입주자격완화 추가모집('24.10.24),충청남도,2024.10.24,2024.11.20,공고중
